Superkingdom,Phylum,Class,Order,Family,Genus,Species_group,Species
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium,Lachnoclostridium pacaense
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Marseillibacter,Marseillibacter,Marseillibacter
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus,Coprococcus catus
Bacteria <bacteria>,Firmicutes,Negativicutes,Selenomonadales,Selenomonadales,Selenomonadales,Selenomonadales,Selenomonadales
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus ruminis
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae/Enterobacteriaceae,Pantoea/Enterobacter,Pantoea agglomerans group/Enterobacter cloacae complex,Enterobacter roggenkampii/Pantoea agglomerans
Bacteria <bacteria>,Fusobacteria <Fusobacteria>,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium,Fusobacterium
Bacteria <bacteria>,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella,Sutterella wadsworthensis
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,Coprobacillus,Coprobacillus cateniformis
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus <enterobacteria>,Proteus <enterobacteria>,Proteus alimentorum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiales,Fenollaria,Fenollaria,Fenollaria massiliensis/timonensis
Bacteria <bacteria>,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus,Anaerococcus vaginalis
Bacteria <bacteria>,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella,Veillonella atypica
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum,Anaerobutyricum hallii/soehngenii
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium,Clostridium subterminale
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter,[Ruminococcus] lactaris
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella,Collinsella intestinalis
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium,Bifidobacterium dentium
Bacteria <bacteria>,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera,Megasphaera massiliensis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides ovatus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaeromassilibacillus,Anaeromassilibacillus,Anaeromassilibacillus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus,Coprococcus
Bacteria <bacteria>,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter,Campylobacter concisus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae/Ruminococcaceae,Pseudoflavonifractor/Clostridium,Pseudoflavonifractor/Clostridium,Pseudoflavonifractor capillosus/Clostridium phoceensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia hydrogenotrophica
Bacteria <bacteria>,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio,Desulfovibrio piger
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii complex,Citrobacter gillenii
Bacteria <bacteria>,Firmicutes,Clostridia,Candidatus Borkfalkiales,Candidatus Borkfalkiaceae,Candidatus Borkfalkia,Candidatus Borkfalkia,Candidatus Borkfalkia
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus oris
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium,Clostridium disporicum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fournierella,Fournierella,Fournierella massiliensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter,Mediterraneibacter
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus group,Streptococcus anginosus
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,Raoultella,Raoultella terrigena
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia,Providencia rettgeri/vermicola
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella,Barnesiella
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium,Clostridium subterminale/sulfidigenes/thiosulfatireducens
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus,Streptococcus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae,Christensenellaceae,Christensenellaceae
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus,Enterococcus mundtii
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Actinomycetales,Actinomycetaceae,Fannyhessea,Fannyhessea,Fannyhessea vaginae
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides nordii
Bacteria <bacteria>,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus,Peptoniphilus asaccharolyticus/harei/phoceensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,Terrisporobacter,Terrisporobacter glycolicus/mayombei
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia producta
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Scardovia,Scardovia wiggsiae
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Massiliprevotella,Massiliprevotella,Massiliprevotella
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Butyricicoccus,Butyricicoccus,Butyricicoccus pullicaecorum
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia,Abiotrophia defectiva
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter/Klebsiella,Citrobacter/Klebsiella,Klebsiella indica
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides,Parabacteroides johnsonii
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Massilimicrobiota,Massilimicrobiota,Massilimicrobiota timonensis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Coprobacter,Coprobacter
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter,Odoribacter splanchnicus
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii complex,Citrobacter pasteurii/portucalensis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,Alistipes finegoldii
Bacteria <bacteria>,Fusobacteria <Fusobacteria>,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia,Leptotrichia hongkongensis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides mediterraneensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus,Ruminococcus
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium,Bifidobacterium animalis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium,Clostridium carnis/neonatale
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc,Leuconostoc mesenteroides
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae,Peptostreptococcaceae,Peptostreptococcaceae
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pygmaiobacter,Pygmaiobacter,Pygmaiobacter massiliensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Enterocloster,Enterocloster
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia,Schaalia odontolytica
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella,Lancefieldella parvula
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella,Klebsiella michiganensis/pasteurii
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella,Eggerthella lenta
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus animalis/apodemi/murinus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paeniclostridium,Paeniclostridium,Paeniclostridium sordellii
Bacteria <bacteria>,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter,Campylobacter hominis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus,Peptostreptococcus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Niameybacter,Niameybacter,Niameybacter
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides fluxus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus,Ruminococcus callidus
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus,Enterococcus durans
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter,Cronobacter
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Lactimicrobium,Lactimicrobium,Lactimicrobium
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia schinkii
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Micrococcales,Micrococcaceae,Rothia <high GC Gram+>,Rothia <high GC Gram+>,Rothia <high GC Gram+>
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibacillus,Faecalibacillus,Faecalibacillus
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus iners
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus,Haemophilus parainfluenzae
Bacteria <bacteria>,Firmicutes,Bacilli,Bacillales,Bacillaceae,Peribacillus,Peribacillus,Peribacillus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiales,Intestinimonas,Intestinimonas,Intestinimonas butyriciproducens
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,Alistipes shahii
Bacteria <bacteria>,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus,Staphylococcus hominis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Dysosmobacter,Dysosmobacter,Dysosmobacter
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter/Kluyvera,Enterobacter/Kluyvera,Kluyvera ascorbata/Enterobacter soli
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella stercorea
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,Faecalitalea,Faecalitalea cylindroides
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Turicibacter,Turicibacter sanguinis
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia,Escherichia marmotae
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella,Klebsiella grimontii
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium,Clostridium
Bacteria <bacteria>,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succiniclasticum,Succiniclasticum,Succiniclasticum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium,[Clostridium] hylemonae
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridia,Clostridia,Clostridia,Clostridia,Clostridia
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Erysipelatoclostridium,[Clostridium] saccharogumia
Bacteria <bacteria>,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter,Campylobacter gracilis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Romboutsia,[Clostridium] dakarense/Romboutsia sedimentorum
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus,Enterococcus hirae
Bacteria <bacteria>,Firmicutes,Tissierellia,Tissierellia,Tissierellia,Ezakiella,Ezakiella,Ezakiella coagulans
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Senegalimassilia,Senegalimassilia,Senegalimassilia
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum,Agathobaculum
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici group,Pediococcus acidilactici
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Butyricicoccus,Butyricicoccus,Butyricicoccus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoruminococcus,Pseudoruminococcus,Pseudoruminococcus
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus <enterobacteria>,Proteus <enterobacteria>,Proteus mirabilis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas,Porphyromonas
Bacteria <bacteria>,Firmicutes,Bacilli,Bacillales,Bacillales,Gemella,Gemella,Gemella haemolysans/sanguinis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides salyersiae
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Frisingicoccus,Frisingicoccus,Frisingicoccus
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,Raoultella,Raoultella electrica/ornithinolytica/planticola
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Dysosmobacter/Oscillibacter,Dysosmobacter/Oscillibacter,Dysosmobacter/Oscillibacter
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium,Corynebacterium amycolatum
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella buccalis
Bacteria <bacteria>,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus,Anaerococcus
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium,Bifidobacterium bifidum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae,Ruminococcaceae,[Clostridium] methylpentosum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum,Anaerotignum faecicola
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus,Enterococcus canintestini/casseliflavus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium,Eubacterium ventriosum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,Cellulosilyticum,Cellulosilyticum lentocellum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus,Coprococcus eutactus
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella jejuni
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella melaninogenica
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella timonensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium,Clostridium butyricum
Bacteria <bacteria>,Fusobacteria <Fusobacteria>,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium,Fusobacterium ulcerans/varium
Bacteria <bacteria>,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcaceae,Acidaminococcaceae,Acidaminococcaceae
Bacteria <bacteria>,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus,Anaerococcus senegalensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia hominis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Glucerabacter,Glucerabacter,Glucerabacter
Bacteria <bacteria>,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella,Veillonella parvula/rogosae
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,Amedibacillus,Amedibacillus dolichus
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella,Klebsiella granulomatis/quasipneumoniae
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Merdimonas,Merdimonas,Merdimonas
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Raoultibacter,Raoultibacter,Raoultibacter
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium,Eubacterium callanderi
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides clarus
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus,Enterococcus gallinarum
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,Alistipes
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum,Anaerotignum
Bacteria <bacteria>,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus,Peptoniphilus lacydonensis/rhinitidis
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter,Citrobacter pasteurii
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella corporis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiales,Howardella,Howardella,Howardella
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiales,Intestinimonas,Intestinimonas,Intestinimonas massiliensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus,Enterococcus avium
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella,Olsenella uli
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Absicoccus,Absicoccus,Absicoccus
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides congonensis
Bacteria <bacteria>,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister,Dialister hominis/massiliensis
Bacteria <bacteria>,Candidatus Melainabacteria,Candidatus Melainabacteria,Vampirovibrionales,Vampirovibrionales,Vampirovibrio,Vampirovibrio,Vampirovibrio
Bacteria <bacteria>,Fusobacteria <Fusobacteria>,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacteriaceae,Fusobacteriaceae,Fusobacteriaceae
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Obesumbacterium,Obesumbacterium,Obesumbacterium proteus
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Erysipelatoclostridium,[Clostridium] cocleatum
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Merdibacter,Merdibacter,Merdibacter
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia/Asaccharobacter,Adlercreutzia/Asaccharobacter,Adlercreutzia/Asaccharobacter
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium,Corynebacterium tuberculostearicum
Bacteria <bacteria>,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus,Staphylococcus aureus
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidales,Phocaeicola,Phocaeicola,Phocaeicola barnesiae
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae,Prevotellaceae,Prevotellaceae
Bacteria <bacteria>,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas,Megamonas funiformis
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthellaceae,Eggerthellaceae,Eggerthellaceae
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella,Alloprevotella
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella disiens
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus jensenii
Bacteria <bacteria>,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella,Veillonella tobetsuensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter,Oscillibacter
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus,Anaerotruncus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,Peptococcus,Peptococcus
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Absiella,Absiella,Absiella
Bacteria <bacteria>,Fusobacteria <Fusobacteria>,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium,Fusobacterium mortiferum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Emergencia,Emergencia,Emergencia timonensis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides togonis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neobittarella,Neobittarella,Neobittarella
Bacteria <bacteria>,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus,Peptoniphilus
